,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
166200,1989-12-30,1.0,Another Day In Paradise,Phil Collins,1.0,1.0,9;
166201,1989-12-30,2.0,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2.0,2.0,14;
166202,1989-12-30,3.0,We Didn't Start The Fire,Billy Joel,3.0,1.0,12;
166203,1989-12-30,4.0,Rhythm Nation,Janet Jackson,4.0,4.0,8;
166204,1989-12-30,5.0,With Every Beat Of My Heart,Taylor Dayne,5.0,5.0,11;
166205,1989-12-30,6.0,Back To Life,Soul II Soul,6.0,4.0,15;
166206,1989-12-30,7.0,Pump Up The Jam,Technotronic Featuring Felly,7.0,7.0,12;
166207,1989-12-30,8.0,Just Like Jesse James,Cher,8.0,8.0,11;
166208,1989-12-30,9.0,This One's For The Children,New Kids On The Block,9.0,9.0,8;
166209,1989-12-30,10.0,Living In Sin,Bon Jovi,10.0,9.0,13;
166210,1989-12-30,11.0,How Am I Supposed To Live Without You,Michael Bolton,11.0,11.0,10;
166211,1989-12-30,12.0,Everything,Jody Watley,12.0,12.0,12;
166212,1989-12-30,13.0,Blame It On The Rain,Milli Vanilli,13.0,1.0,13;
166213,1989-12-30,14.0,Swing The Mood,Jive Bunny & The Mastermixers,14.0,14.0,10;
166214,1989-12-30,15.0,Just Between You And Me,Lou Gramm,15.0,15.0,10;
166215,1989-12-30,16.0,Love Song,Tesla,16.0,16.0,14;
166216,1989-12-30,17.0,Free Fallin',Tom Petty,17.0,17.0,9;
166217,1989-12-30,18.0,When The Night Comes,Joe Cocker,18.0,18.0,10;
166218,1989-12-30,19.0,Downtown Train,Rod Stewart,19.0,19.0,6;
166219,1989-12-30,20.0,Two To Make It Right,Seduction,20.0,20.0,8;
166220,1989-12-30,21.0,Oh Father,Madonna,21.0,21.0,8;
166221,1989-12-30,22.0,Love Shack,The B-52s,22.0,3.0,18;
166222,1989-12-30,23.0,Rock And A Hard Place,The Rolling Stones,23.0,23.0,9;
166223,1989-12-30,24.0,Don't Close Your Eyes,KIX,24.0,11.0,17;
166224,1989-12-30,25.0,(It's Just) The Way That You Love Me,Paula Abdul,25.0,3.0,20;
166225,1989-12-30,26.0,I Remember You,Skid Row,26.0,26.0,7;
166226,1989-12-30,27.0,When I See You Smile,Bad English,27.0,1.0,16;
166227,1989-12-30,28.0,Angelia,Richard Marx,28.0,4.0,13;
166228,1989-12-30,29.0,Janie's Got A Gun,Aerosmith,29.0,29.0,6;
166229,1989-12-30,30.0,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,30.0,30.0,7;
166230,1989-12-30,31.0,The Last Worthless Evening,Don Henley,31.0,21.0,13;
166231,1989-12-30,32.0,Tender Lover,Babyface,32.0,32.0,7;
166232,1989-12-30,33.0,Bust A Move,Young M.C.,33.0,7.0,23;
166233,1989-12-30,34.0,Peace In Our Time,Eddie Money,34.0,34.0,5;
166234,1989-12-30,35.0,Don't Make Me Over,Sybil,35.0,20.0,15;
166235,1989-12-30,36.0,Leave A Light On,Belinda Carlisle,36.0,11.0,14;
166236,1989-12-30,37.0,Fool For Your Loving,Whitesnake,37.0,37.0,17;
166237,1989-12-30,38.0,What Kind Of Man Would I Be?,Chicago,38.0,38.0,5;
166238,1989-12-30,39.0,Was It Nothing At All,Michael Damian,39.0,39.0,10;
166239,1989-12-30,40.0,Tell Me Why,Expose,40.0,40.0,4;
166240,1989-12-30,41.0,I Want You,Shana,41.0,41.0,13;
