,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
239287,1975-12-27,1.0,Let's Do It Again,The Staple Singers,2.0,1.0,10;
239288,1975-12-27,2.0,Saturday Night,Bay City Rollers,4.0,2.0,12;
239289,1975-12-27,3.0,That's The Way (I Like It),KC And The Sunshine Band,1.0,1.0,10;
239290,1975-12-27,4.0,Love Rollercoaster,Ohio Players,5.0,4.0,7;
239291,1975-12-27,5.0,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,6.0,5.0,9;
239292,1975-12-27,6.0,I Write The Songs,Barry Manilow,8.0,6.0,7;
239293,1975-12-27,7.0,Convoy,C.W. McCall,14.0,7.0,4;
239294,1975-12-27,8.0,Fox On The Run,Sweet,9.0,8.0,7;
239295,"1975-12-27,9,""Fly, Robin, Fly"",Silver Convention,3,1,12;",,,,,,
239296,1975-12-27,10.0,I Love Music (Part 1),The O'Jays,12.0,10.0,9;
239297,1975-12-27,11.0,Our Day Will Come,Frankie Valli,11.0,11.0,11;
239298,1975-12-27,12.0,Sky High,Jigsaw,7.0,3.0,18;
239299,1975-12-27,13.0,Nights On Broadway,Bee Gees,10.0,7.0,13;
239300,1975-12-27,14.0,Times Of Your Life,Paul Anka,17.0,14.0,7;
239301,1975-12-27,15.0,Love To Love You Baby,Donna Summer,27.0,15.0,4;
239302,1975-12-27,16.0,Country Boy (You Got Your Feet In L.A.),Glen Campbell,20.0,16.0,8;
239303,1975-12-27,17.0,Walk Away From Love,David Ruffin,21.0,17.0,8;
239304,1975-12-27,18.0,The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes,18.0,18.0,7;
239305,"1975-12-27,19,Sing A Song,""Earth, Wind & Fire"",26,19,6;",,,,,,
239306,1975-12-27,20.0,You Sexy Thing,Hot Chocolate,24.0,20.0,9;
239307,1975-12-27,21.0,Rock And Roll All Nite (live),KISS,25.0,21.0,7;
239308,1975-12-27,22.0,Part Time Love,Gladys Knight And The Pips,23.0,22.0,8;
239309,1975-12-27,23.0,Fly Away,John Denver,29.0,23.0,4;
239310,1975-12-27,24.0,Evil Woman,Electric Light Orchestra,28.0,24.0,7;
239311,1975-12-27,25.0,For The Love Of You (Part 1&2),The Isley Brothers,22.0,22.0,7;
239312,1975-12-27,26.0,Love Machine (Part 1),The Miracles,34.0,26.0,10;
239313,1975-12-27,27.0,Over My Head,Fleetwood Mac,32.0,27.0,8;
239314,1975-12-27,28.0,Full Of Fire,Al Green,30.0,28.0,8;
239315,1975-12-27,29.0,My Little Town,Simon & Garfunkel,13.0,9.0,11;
239316,"1975-12-27,30,Winners And Losers,""Hamilton, Joe Frank & Reynolds"",35,30,8;",,,,,,
239317,1975-12-27,31.0,The Way I Want To Touch You,Captain & Tennille,19.0,4.0,14;
239318,1975-12-27,32.0,Island Girl,Elton John,16.0,1.0,12;
239319,1975-12-27,33.0,School Boy Crush,AWB,37.0,33.0,5;
239320,1975-12-27,34.0,Breaking Up Is Hard To Do,Neil Sedaka,59.0,34.0,3;
239321,1975-12-27,35.0,Baby Face,The Wing And A Prayer Fife & Drum Corps.,38.0,35.0,7;
239322,1975-12-27,36.0,Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes,40.0,36.0,6;
239323,1975-12-27,37.0,Somewhere In The Night,Helen Reddy,45.0,37.0,4;
239324,1975-12-27,38.0,Fire On The Mountain,The Marshall Tucker Band,39.0,38.0,11;
