,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
108800,2000-12-30,1.0,Independent Women Part I,Destiny's Child,1.0,1.0,15;
108801,2000-12-30,2.0,He Loves U Not,Dream,5.0,2.0,14;
108802,"2000-12-30,3,It Wasn't Me,""Shaggy Feat. Ricardo """"RikRok"""" Ducent"",2,2,9;",,,,,,
108803,2000-12-30,4.0,Case Of The Ex (Whatcha Gonna Do),Mya,3.0,2.0,20;
108804,2000-12-30,5.0,With Arms Wide Open,Creed,4.0,1.0,34;
108805,2000-12-30,6.0,Ms. Jackson,OutKast,6.0,6.0,8;
108806,2000-12-30,7.0,The Way You Love Me,Faith Hill,8.0,7.0,35;
108807,2000-12-30,8.0,If You're Gone,matchbox twenty,11.0,8.0,11;
108808,2000-12-30,9.0,Kryptonite,3 Doors Down,9.0,3.0,39;
108809,2000-12-30,10.0,Dance With Me,Debelah Morgan,12.0,10.0,23;
108810,2000-12-30,11.0,I Just Wanna Love U (Give It 2 Me),JAY-Z,13.0,11.0,10;
108811,2000-12-30,12.0,This I Promise You,'N Sync,10.0,5.0,14;
108812,2000-12-30,13.0,Gotta Tell You,Samantha Mumba,7.0,4.0,17;
108813,2000-12-30,14.0,Most Girls,P!nk,14.0,4.0,21;
108814,2000-12-30,15.0,I Wish,R. Kelly,15.0,15.0,14;
108815,2000-12-30,16.0,Again,Lenny Kravitz,19.0,16.0,7;
108816,2000-12-30,17.0,Liquid Dreams,O-Town,21.0,17.0,2;
108817,2000-12-30,18.0,E.I.,Nelly,16.0,16.0,13;
108818,2000-12-30,19.0,Shape Of My Heart,Backstreet Boys,17.0,9.0,12;
108819,2000-12-30,20.0,Love Don't Cost A Thing,Jennifer Lopez,22.0,20.0,4;
108820,2000-12-30,21.0,Between Me And You,Ja Rule Featuring Christina Milian,18.0,11.0,16;
108821,2000-12-30,22.0,Pinch Me,Barenaked Ladies,20.0,15.0,17;
108822,2000-12-30,23.0,Crazy For This Girl,Evan And Jaron,23.0,23.0,9;
108823,2000-12-30,24.0,What's Your Fantasy,Ludacris Featuring Shawnna,24.0,21.0,14;
108824,2000-12-30,25.0,Beautiful Day,U2,28.0,25.0,13;
108825,2000-12-30,26.0,My First Love,Avant Featuring KeKe Wyatt,26.0,26.0,9;
108826,2000-12-30,27.0,Music,Madonna,25.0,1.0,21;
108827,2000-12-30,28.0,My Next Thirty Years,Tim McGraw,27.0,27.0,11;
108828,2000-12-30,29.0,Stronger,Britney Spears,53.0,29.0,5;
108829,2000-12-30,30.0,Don't Tell Me,Madonna,35.0,30.0,4;
108830,2000-12-30,31.0,Just Friends (Sunny),Musiq,32.0,31.0,12;
108831,2000-12-30,32.0,Danger (Been So Long),Mystikal Featuring Nivea,55.0,32.0,3;
108832,2000-12-30,33.0,Without You,Dixie Chicks,31.0,31.0,13;
108833,2000-12-30,34.0,Born To Fly,Sara Evans,39.0,34.0,11;
108834,2000-12-30,35.0,Hemorrhage (In My Hands),Fuel,40.0,35.0,10;
108835,2000-12-30,36.0,I Lost It,Kenny Chesney,34.0,34.0,11;
108836,2000-12-30,37.0,Bent,matchbox twenty,33.0,1.0,36;
108837,2000-12-30,38.0,Crazy,K-Ci & JoJo,42.0,38.0,4;
108838,2000-12-30,39.0,So In Love With Two,Mikaila,47.0,39.0,6;
108839,2000-12-30,40.0,Don't Think I'm Not,Kandi,30.0,24.0,22;
108840,2000-12-30,41.0,Bow Wow (That's My Name),Lil Bow Wow,43.0,41.0,6;
108841,2000-12-30,42.0,We Danced,Brad Paisley,36.0,29.0,12;
108842,2000-12-30,43.0,She Bangs,Ricky Martin,29.0,12.0,13;
108843,2000-12-30,44.0,My Everything,98 Degrees,50.0,44.0,4;
108844,2000-12-30,45.0,Best Of Intentions,Travis Tritt,37.0,27.0,20;
108845,2000-12-30,46.0,You're A God,Vertical Horizon,41.0,23.0,19;
108846,2000-12-30,47.0,Emotional,Carl Thomas,54.0,47.0,6;
108847,2000-12-30,48.0,No More (Baby I'ma Do Right),3LW,48.0,48.0,9;
108848,2000-12-30,49.0,www.memory,Alan Jackson,45.0,45.0,9;
108849,2000-12-30,50.0,Tell Her,Lonestar,51.0,50.0,7;
108850,2000-12-30,51.0,Just Another Day In Paradise,Phil Vassar,46.0,35.0,14;
108851,2000-12-30,52.0,Mamacita,Public Announcement,59.0,52.0,2;
108852,2000-12-30,53.0,911,Wyclef Jean Featuring Mary J. Blige,49.0,38.0,13;
108853,2000-12-30,54.0,One Woman Man,Dave Hollister,64.0,54.0,4;
108854,2000-12-30,55.0,Stan,Eminem Featuring Dido,57.0,51.0,9;
108855,2000-12-30,56.0,Ashes By Now,Lee Ann Womack,62.0,56.0,4;
108856,2000-12-30,57.0,The Itch,Vitamin C,52.0,45.0,5;
108857,2000-12-30,58.0,Burn,Jo Dee Messina,60.0,58.0,5;
108858,2000-12-30,59.0,South Side,Moby Featuring Gwen Stefani,78.0,59.0,5;
108859,2000-12-30,60.0,Project Chick,Cash Money Millionaires,65.0,60.0,3;
108860,2000-12-30,61.0,Loser,3 Doors Down,61.0,55.0,11;
108861,2000-12-30,62.0,The Little Girl,John Michael Montgomery,63.0,35.0,17;
108862,2000-12-30,63.0,Babylon,David Gray,66.0,63.0,5;
108863,2000-12-30,64.0,Promise,Jagged Edge,73.0,64.0,2;
108864,2000-12-30,65.0,It's Over Now,112,68.0,65.0,4;
108865,2000-12-30,66.0,Bag Lady,Erykah Badu,56.0,6.0,20;
108866,2000-12-30,67.0,There Is No Arizona,Jamie O'Neal,72.0,67.0,2;
108867,2000-12-30,68.0,The Christmas Shoes,NewSong,,68.0,1;
108868,2000-12-30,69.0,Still On Your Side,BBMak,,69.0,1;
108869,2000-12-30,70.0,Wild Horses,Garth Brooks,79.0,70.0,2;
108870,2000-12-30,71.0,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,74.0,71.0,3;
108871,2000-12-30,72.0,But For The Grace Of God,Keith Urban,81.0,72.0,2;
108872,2000-12-30,73.0,Rollin',Limp Bizkit,67.0,65.0,8;
108873,2000-12-30,74.0,You Should've Told Me,Kelly Price,70.0,64.0,15;
108874,2000-12-30,75.0,Liar,Profyle,69.0,14.0,16;
108875,2000-12-30,76.0,This Everyday Love,Rascal Flatts,76.0,76.0,2;
108876,2000-12-30,77.0,You Shouldn't Kiss Me Like This,Toby Keith,,77.0,1;
108877,2000-12-30,78.0,Original Prankster,The Offspring,77.0,70.0,6;
108878,2000-12-30,79.0,Open My Heart,Yolanda Adams,71.0,57.0,19;
108879,2000-12-30,80.0,X,Xzibit,,80.0,1;
108880,2000-12-30,81.0,Angel,Shaggy Featuring Rayvon,,81.0,1;
108881,2000-12-30,82.0,Meanwhile Back At The Ranch,The Clark Family Experience,80.0,80.0,7;
108882,2000-12-30,83.0,Oklahoma,Billy Gilman,84.0,83.0,8;
108883,2000-12-30,84.0,Girls Dem Sugar,Beenie Man Featuring Mya,75.0,54.0,11;
108884,2000-12-30,85.0,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,95.0,85.0,2;
108885,2000-12-30,86.0,Can't Fight The Moonlight,LeAnn Rimes,85.0,71.0,17;
108886,2000-12-30,87.0,Could It Be,Jaheim,90.0,87.0,3;
108887,2000-12-30,88.0,A Little Gasoline,Terri Clark,82.0,75.0,3;
108888,2000-12-30,89.0,How Many Licks?,Lil' Kim Featuring Sisqo,86.0,75.0,6;
108889,2000-12-30,90.0,Thank You In Advance,Boyz II Men,,90.0,1;
108890,2000-12-30,91.0,My Love Goes On And On,Chris Cagle,83.0,76.0,11;
108891,2000-12-30,92.0,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,97.0,92.0,2;
108892,2000-12-30,93.0,My Baby You,Marc Anthony,89.0,70.0,16;
108893,2000-12-30,94.0,Give Me Just One Night (Una Noche),98 Degrees,93.0,2.0,20;
108894,2000-12-30,95.0,Go On,George Strait,88.0,40.0,19;
108895,2000-12-30,96.0,All Good?,De La Soul Featuring Chaka Khan,96.0,96.0,2;
108896,2000-12-30,97.0,Kiss This,Aaron Tippin,92.0,42.0,19;
108897,2000-12-30,98.0,I Know,Sunday,,98.0,1;
108898,2000-12-30,99.0,Feels Like Love,Vince Gill,91.0,52.0,18;
108899,2000-12-30,100.0,If I Am,Nine Days,94.0,68.0,5;
108900,2000-12-23,1.0,Independent Women Part I,Destiny's Child,1.0,1.0,14;
108901,"2000-12-23,2,It Wasn't Me,""Shaggy Feat. Ricardo """"RikRok"""" Ducent"",4,2,8;",,,,,,
108902,2000-12-23,3.0,Case Of The Ex (Whatcha Gonna Do),Mya,2.0,2.0,19;
108903,2000-12-23,4.0,With Arms Wide Open,Creed,3.0,1.0,33;
108904,2000-12-23,5.0,He Loves U Not,Dream,8.0,5.0,13;
108905,2000-12-23,6.0,Ms. Jackson,OutKast,9.0,6.0,7;
108906,2000-12-23,7.0,Gotta Tell You,Samantha Mumba,6.0,4.0,16;
108907,2000-12-23,8.0,The Way You Love Me,Faith Hill,10.0,8.0,34;
108908,2000-12-23,9.0,Kryptonite,3 Doors Down,5.0,3.0,38;
108909,2000-12-23,10.0,This I Promise You,'N Sync,7.0,5.0,13;
108910,2000-12-23,11.0,If You're Gone,matchbox twenty,13.0,11.0,10;
108911,2000-12-23,12.0,Dance With Me,Debelah Morgan,15.0,12.0,22;
108912,2000-12-23,13.0,I Just Wanna Love U (Give It 2 Me),JAY-Z,14.0,13.0,9;
108913,2000-12-23,14.0,Most Girls,P!nk,11.0,4.0,20;
108914,2000-12-23,15.0,I Wish,R. Kelly,17.0,15.0,13;
108915,2000-12-23,16.0,E.I.,Nelly,16.0,16.0,12;
108916,2000-12-23,17.0,Shape Of My Heart,Backstreet Boys,12.0,9.0,11;
108917,2000-12-23,18.0,Between Me And You,Ja Rule Featuring Christina Milian,18.0,11.0,15;
108918,2000-12-23,19.0,Again,Lenny Kravitz,24.0,19.0,6;
108919,2000-12-23,20.0,Pinch Me,Barenaked Ladies,19.0,15.0,16;
108920,2000-12-23,21.0,Liquid Dreams,O-Town,,21.0,1;
108921,2000-12-23,22.0,Love Don't Cost A Thing,Jennifer Lopez,28.0,22.0,3;
