,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
275787,1968-12-28,1.0,I Heard It Through The Grapevine,Marvin Gaye,1.0,1.0,6;
275788,1968-12-28,2.0,For Once In My Life,Stevie Wonder,3.0,2.0,9;
275789,1968-12-28,3.0,Love Child,Diana Ross & The Supremes,2.0,1.0,11;
275790,1968-12-28,4.0,Wichita Lineman,Glen Campbell,5.0,4.0,9;
275791,1968-12-28,5.0,Stormy,Classics IV Featuring Dennis Yost,6.0,5.0,10;
275792,"1968-12-28,6,""Abraham, Martin And John"",Dion,4,4,10;",,,,,,
275793,1968-12-28,7.0,I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,17.0,7.0,4;
275794,1968-12-28,8.0,Who's Making Love,Johnnie Taylor,7.0,5.0,10;
275795,1968-12-28,9.0,I Love How You Love Me,Bobby Vinton,9.0,9.0,9;
275796,1968-12-28,10.0,Cloud Nine,The Temptations,12.0,10.0,7;
275797,1968-12-28,11.0,Both Sides Now,Judy Collins,8.0,8.0,8;
275798,1968-12-28,12.0,Cinnamon,Derek,13.0,12.0,10;
275799,1968-12-28,13.0,Hooked On A Feeling,B.J. Thomas,22.0,13.0,7;
275800,1968-12-28,14.0,See Saw,Aretha Franklin,14.0,14.0,6;
275801,1968-12-28,15.0,Hey Jude,The Beatles,11.0,1.0,16;
275802,1968-12-28,16.0,Soulful Strut,Young-Holt Unlimited,20.0,16.0,5;
275803,1968-12-28,17.0,Bring It On Home To Me,Eddie Floyd,18.0,17.0,11;
275804,1968-12-28,18.0,Magic Carpet Ride,Steppenwolf,10.0,3.0,13;
275805,1968-12-28,19.0,Chewy Chewy,Ohio Express,15.0,15.0,11;
275806,1968-12-28,20.0,Going Up The Country,Canned Heat,26.0,20.0,4;
275807,1968-12-28,21.0,Son-Of-A Preacher Man,Dusty Springfield,24.0,21.0,5;
275808,1968-12-28,22.0,Little Arrows,Leapy Lee,21.0,16.0,12;
275809,1968-12-28,23.0,Too Weak To Fight,Clarence Carter,28.0,23.0,8;
275810,1968-12-28,24.0,Papa's Got A Brand New Bag,Otis Redding,31.0,24.0,5;
275811,1968-12-28,25.0,Those Were The Days,Mary Hopkin,19.0,2.0,14;
275812,1968-12-28,26.0,Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,30.0,26.0,6;
275813,1968-12-28,27.0,Scarborough Fair,Sergio Mendes & Brasil '66,16.0,16.0,7;
275814,1968-12-28,28.0,Crimson And Clover,Tommy James And The Shondells,39.0,28.0,3;
275815,"1968-12-28,29,""Shame, Shame"",Magic Lanterns,29,29,10;",,,,,,
275816,1968-12-28,30.0,If I Can Dream,Elvis Presley,36.0,30.0,5;
275817,1968-12-28,31.0,Till,The Vogues,27.0,27.0,6;
