,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
155873,1991-12-28,74.0,Whispers,Corina,74.0,51.0,14;
155874,1991-12-28,75.0,Love Crazy,Atlantic Starr,75.0,75.0,6;
155875,1991-12-28,76.0,In Paradise,Laissez Faire,76.0,76.0,4;
155876,1991-12-28,77.0,Within My Heart,Voyce,77.0,77.0,5;
155877,1991-12-28,78.0,Uhh Ahh,Boyz II Men,78.0,78.0,3;
155878,1991-12-28,79.0,Get A Leg Up,John Mellencamp,79.0,14.0,13;
155879,1991-12-28,80.0,All Through The Night,Tone-Loc,80.0,80.0,3;
155880,1991-12-28,81.0,Conviction Of The Heart,Kenny Loggins,81.0,65.0,10;
155881,1991-12-28,82.0,To Be With You,Mr. Big,82.0,82.0,2;
155882,1991-12-28,83.0,Rush,Big Audio,83.0,32.0,15;
155883,1991-12-28,84.0,Real Real Real,Jesus Jones,84.0,4.0,19;
155884,1991-12-28,85.0,I'll Get By,Eddie Money,85.0,85.0,2;
155885,1991-12-28,86.0,Every Road Leads Back To You,Bette Midler,86.0,86.0,2;
155886,1991-12-28,87.0,There Will Never Be Another Tonight,Bryan Adams,87.0,87.0,2;
155887,1991-12-28,88.0,Insatiable,Prince And The N.P.G.,88.0,88.0,3;
155888,1991-12-28,89.0,Move Any Mountain,The Shamen,89.0,89.0,3;
155889,1991-12-28,90.0,Right Down To It,Damian Dame,90.0,90.0,3;
155890,1991-12-28,91.0,The Fly,U2,91.0,61.0,8;
155891,1991-12-28,92.0,What Time Is Love?,The KLF,92.0,57.0,10;
155892,1991-12-28,93.0,Give It Away,Red Hot Chili Peppers,93.0,93.0,2;
155893,1991-12-28,94.0,Something Got Me Started,Simply Red,94.0,23.0,14;
155894,1991-12-28,95.0,Live And Let Die,Guns N' Roses,95.0,95.0,2;
155895,1991-12-28,96.0,Everybody Move,Cathy Dennis,96.0,90.0,3;
155896,1991-12-28,97.0,Groovin',UB40,97.0,90.0,6;
155897,1991-12-28,98.0,Just Another Girlfriend,Hi-Five,98.0,88.0,6;
155898,1991-12-28,99.0,Lies,EMF,99.0,18.0,14;
155899,1991-12-28,100.0,All I Need Is You,Blue Train,100.0,46.0,13;
155900,1991-12-21,1.0,Black Or White,Michael Jackson,1.0,1.0,5;
155901,1991-12-21,2.0,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,2.0,2.0,14;
155902,1991-12-21,3.0,All 4 Love,Color Me Badd,5.0,3.0,7;
155903,1991-12-21,4.0,Set Adrift On Memory Bliss,P.M. Dawn,3.0,1.0,10;
155904,1991-12-21,5.0,When A Man Loves A Woman,Michael Bolton,4.0,1.0,11;
155905,1991-12-21,6.0,Can't Let Go,Mariah Carey,7.0,6.0,6;
155906,1991-12-21,7.0,Blowing Kisses In The Wind,Paula Abdul,6.0,6.0,10;
155907,1991-12-21,8.0,Finally,CeCe Peniston,8.0,8.0,13;
155908,1991-12-21,9.0,2 Legit 2 Quit,M.C. Hammer,11.0,9.0,7;
155909,1991-12-21,10.0,Wildside,Marky Mark & The Funky Bunch,10.0,10.0,7;
155910,1991-12-21,11.0,That's What Love Is For,Amy Grant,9.0,7.0,13;
155911,1991-12-21,12.0,Keep Coming Back,Richard Marx,13.0,12.0,8;
155912,1991-12-21,13.0,No Son Of Mine,Genesis,17.0,13.0,8;
155913,1991-12-21,14.0,Cream,Prince And The N.P.G.,12.0,1.0,13;
155914,1991-12-21,15.0,O.P.P.,Naughty By Nature,14.0,6.0,16;
155915,1991-12-21,16.0,Let's Talk About Sex,Salt-N-Pepa,15.0,13.0,18;
155916,1991-12-21,17.0,Smells Like Teen Spirit,Nirvana,23.0,17.0,3;
155917,1991-12-21,18.0,Don't Cry,Guns N' Roses,16.0,10.0,14;
155918,1991-12-21,19.0,Don't Let The Sun Go Down On Me,George Michael/Elton John,34.0,19.0,3;
155919,1991-12-21,20.0,Addams Groove,M.C. Hammer,36.0,20.0,3;
155920,1991-12-21,21.0,Can't Stop This Thing We Started,Bryan Adams,18.0,2.0,15;
155921,1991-12-21,22.0,Live For Loving You,Gloria Estefan,22.0,22.0,11;
155922,1991-12-21,23.0,Set The Night To Music,Roberta Flack With Maxi Priest,20.0,6.0,14;
155923,1991-12-21,24.0,Broken Arrow,Rod Stewart,26.0,24.0,10;
155924,1991-12-21,25.0,I Love Your Smile,Shanice,29.0,25.0,5;
155925,1991-12-21,26.0,Mysterious Ways,U2,33.0,26.0,5;
155926,1991-12-21,27.0,Do Anything,Natural Selection,19.0,2.0,20;
155927,1991-12-21,28.0,Forever My Lady,Jodeci,25.0,25.0,9;
155928,1991-12-21,29.0,Romantic,Karyn White,24.0,1.0,19;
155929,1991-12-21,30.0,Diamonds And Pearls,Prince And The N.P.G.,49.0,30.0,3;
155930,1991-12-21,31.0,Change,Lisa Stansfield,31.0,31.0,8;
155931,1991-12-21,32.0,Tell Me What You Want Me To Do,Tevin Campbell,37.0,32.0,7;
155932,1991-12-21,33.0,Street Of Dreams,Nia Peeples,21.0,12.0,11;
155933,1991-12-21,34.0,Spending My Time,Roxette,35.0,34.0,9;
155934,1991-12-21,35.0,The Way I Feel About You,Karyn White,43.0,35.0,4;
155935,1991-12-21,36.0,Love Me All Up,Stacy Earl,42.0,36.0,6;
155936,1991-12-21,37.0,Emotions,Mariah Carey,28.0,1.0,17;
155937,1991-12-21,38.0,Angel Baby,Angelica,30.0,30.0,10;
155938,1991-12-21,39.0,Mind Playing Tricks On Me,Geto Boys,32.0,30.0,12;
155939,1991-12-21,40.0,Save Up All Your Tears,Cher,46.0,40.0,10;
155940,1991-12-21,41.0,Keep It Comin',Keith Sweat,53.0,41.0,4;
155941,1991-12-21,42.0,Tender Kisses,Tracie Spencer,45.0,42.0,10;
155942,1991-12-21,43.0,Running Back To You,Vanessa Williams,39.0,18.0,20;
155943,1991-12-21,44.0,Home Sweet Home,Motley Crue,47.0,44.0,7;
155944,1991-12-21,45.0,I've Got A Lot To Learn About Love,The Storm,55.0,45.0,9;
155945,1991-12-21,46.0,I Wonder Why,Curtis Stigers,38.0,9.0,16;
155946,1991-12-21,47.0,Enter Sandman,Metallica,40.0,16.0,18;
155947,1991-12-21,48.0,Top Of The World,Van Halen,41.0,27.0,11;
155948,1991-12-21,49.0,Housecall,Shabba Ranks (Featuring Maxi Priest),44.0,37.0,9;
155949,1991-12-21,50.0,Is It Good To You,Heavy D & The Boyz,50.0,50.0,5;
155950,1991-12-21,51.0,Too Blind To See It,Kym Sims,52.0,51.0,6;
155951,1991-12-21,52.0,Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,48.0,20.0,11;
155952,1991-12-21,53.0,The Unforgiven,Metallica,56.0,53.0,3;
155953,1991-12-21,54.0,Shot Of Poison,Lita Ford,57.0,45.0,8;
155954,1991-12-21,55.0,In My Dreams,The Party,62.0,55.0,6;
155955,1991-12-21,56.0,I Can't Make You Love Me,Bonnie Raitt,67.0,56.0,5;
155956,1991-12-21,57.0,Send Me An Angel,Scorpions,60.0,57.0,7;
155957,1991-12-21,58.0,Can't Truss It,Public Enemy,54.0,50.0,10;
155958,1991-12-21,59.0,Hearts Don't Think (They Feel),Natural Selection,72.0,59.0,3;
155959,1991-12-21,60.0,All She Wrote,Firehouse,68.0,60.0,6;
155960,1991-12-21,61.0,I Wanna Be Your Girl,Icy Blu,66.0,61.0,8;
155961,1991-12-21,62.0,Ain't Gonna Hurt Nobody,Kid 'N Play,61.0,61.0,6;
155962,1991-12-21,63.0,On A Sunday Afternoon,Lighter Shade Of Brown,65.0,63.0,4;
155963,1991-12-21,64.0,Kiss You Back,Digital Underground,63.0,61.0,6;
155964,1991-12-21,65.0,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,64.0,50.0,7;
155965,1991-12-21,66.0,Groovy Train,The Farm,59.0,41.0,13;
155966,1991-12-21,67.0,I'm Too Sexy,Right Said Fred,,67.0,1;
155967,1991-12-21,68.0,A Day In My Life (Without You),Lisette Melendez,70.0,49.0,13;
155968,1991-12-21,69.0,Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,71.0,67.0,15;
155969,1991-12-21,70.0,The Comfort Zone,Vanessa Williams,77.0,70.0,3;
155970,1991-12-21,71.0,I Want You,Jody Watley,73.0,71.0,4;
155971,1991-12-21,72.0,Pop That Coochie,The 2 Live Crew,74.0,58.0,8;
155972,1991-12-21,73.0,No More Tears,Ozzy Osbourne,76.0,73.0,4;
155973,1991-12-21,74.0,Whispers,Corina,84.0,51.0,13;
155974,1991-12-21,75.0,Love Crazy,Atlantic Starr,78.0,75.0,5;
155975,1991-12-21,76.0,In Paradise,Laissez Faire,87.0,76.0,3;
155976,1991-12-21,77.0,Within My Heart,Voyce,82.0,77.0,4;
155977,1991-12-21,78.0,Uhh Ahh,Boyz II Men,88.0,78.0,2;
155978,1991-12-21,79.0,Get A Leg Up,John Mellencamp,75.0,14.0,12;
155979,1991-12-21,80.0,All Through The Night,Tone-Loc,83.0,80.0,2;
155980,1991-12-21,81.0,Conviction Of The Heart,Kenny Loggins,81.0,65.0,9;
155981,1991-12-21,82.0,To Be With You,Mr. Big,,82.0,1;
155982,1991-12-21,83.0,Rush,Big Audio,80.0,32.0,14;
155983,1991-12-21,84.0,Real Real Real,Jesus Jones,86.0,4.0,18;
155984,1991-12-21,85.0,I'll Get By,Eddie Money,,85.0,1;
155985,1991-12-21,86.0,Every Road Leads Back To You,Bette Midler,,86.0,1;
155986,1991-12-21,87.0,There Will Never Be Another Tonight,Bryan Adams,,87.0,1;
155987,1991-12-21,88.0,Insatiable,Prince And The N.P.G.,92.0,88.0,2;
155988,1991-12-21,89.0,Move Any Mountain,The Shamen,100.0,89.0,2;
155989,1991-12-21,90.0,Right Down To It,Damian Dame,93.0,90.0,2;
155990,1991-12-21,91.0,The Fly,U2,89.0,61.0,7;
155991,1991-12-21,92.0,What Time Is Love?,The KLF,85.0,57.0,9;
155992,1991-12-21,93.0,Give It Away,Red Hot Chili Peppers,,93.0,1;
155993,1991-12-21,94.0,Something Got Me Started,Simply Red,79.0,23.0,13;
155994,1991-12-21,95.0,Live And Let Die,Guns N' Roses,,95.0,1;
155995,1991-12-21,96.0,Everybody Move,Cathy Dennis,90.0,90.0,2;
155996,1991-12-21,97.0,Groovin',UB40,95.0,90.0,5;
155997,1991-12-21,98.0,Just Another Girlfriend,Hi-Five,94.0,88.0,5;
155998,1991-12-21,99.0,Lies,EMF,96.0,18.0,13;
155999,1991-12-21,100.0,All I Need Is You,Blue Train,91.0,46.0,12;
156000,1991-12-14,1.0,Black Or White,Michael Jackson,1.0,1.0,4;
156001,1991-12-14,2.0,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,4.0,2.0,13;
156002,1991-12-14,3.0,Set Adrift On Memory Bliss,P.M. Dawn,3.0,1.0,9;
156003,1991-12-14,4.0,When A Man Loves A Woman,Michael Bolton,2.0,1.0,10;
156004,1991-12-14,5.0,All 4 Love,Color Me Badd,5.0,5.0,6;
156005,1991-12-14,6.0,Blowing Kisses In The Wind,Paula Abdul,6.0,6.0,9;
156006,1991-12-14,7.0,Can't Let Go,Mariah Carey,8.0,7.0,5;
156007,1991-12-14,8.0,Finally,CeCe Peniston,11.0,8.0,12;
156008,1991-12-14,9.0,That's What Love Is For,Amy Grant,9.0,7.0,12;
156009,1991-12-14,10.0,Wildside,Marky Mark & The Funky Bunch,15.0,10.0,6;
