,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
192300,1984-12-29,1.0,Like A Virgin,Madonna,1.0,1.0,7;
192301,1984-12-29,2.0,The Wild Boys,Duran Duran,2.0,2.0,9;
192302,1984-12-29,3.0,Out Of Touch,Daryl Hall John Oates,3.0,1.0,14;
192303,1984-12-29,4.0,Sea Of Love,The Honeydrippers,4.0,4.0,12;
192304,1984-12-29,5.0,Cool It Now,New Edition,5.0,5.0,15;
192305,1984-12-29,6.0,We Belong,Pat Benatar,6.0,6.0,10;
192306,1984-12-29,7.0,I Feel For You,Chaka Khan,7.0,3.0,17;
192307,1984-12-29,8.0,No More Lonely Nights,Paul McCartney,8.0,6.0,12;
192308,1984-12-29,9.0,All I Need,Jack Wagner,9.0,9.0,11;
192309,1984-12-29,10.0,Valotte,Julian Lennon,10.0,10.0,11;
192310,1984-12-29,11.0,Wake Me Up Before You Go-Go,Wham!,11.0,1.0,17;
192311,1984-12-29,12.0,Run To You,Bryan Adams,12.0,12.0,9;
192312,1984-12-29,13.0,All Through The Night,Cyndi Lauper,13.0,5.0,13;
192313,1984-12-29,14.0,Born In The USA,Bruce Springsteen,14.0,14.0,8;
192314,1984-12-29,15.0,You're The Inspiration,Chicago,15.0,15.0,7;
192315,1984-12-29,16.0,I Can't Hold Back,Survivor,16.0,13.0,16;
192316,1984-12-29,17.0,Do What You Do,Jermaine Jackson,17.0,17.0,10;
192317,1984-12-29,18.0,Penny Lover,Lionel Richie,18.0,8.0,13;
192318,1984-12-29,19.0,Understanding,Bob Seger,19.0,19.0,8;
192319,1984-12-29,20.0,Hello Again,The Cars,20.0,20.0,10;
192320,1984-12-29,21.0,I Want To Know What Love Is,Foreigner,21.0,21.0,4;
192321,1984-12-29,22.0,Easy Lover,Philip Bailey With Phil Collins,22.0,22.0,6;
192322,1984-12-29,23.0,Strut,Sheena Easton,23.0,7.0,19;
192323,1984-12-29,24.0,Centipede,Rebbie Jackson,24.0,24.0,13;
192324,1984-12-29,25.0,Jamie,Ray Parker Jr.,25.0,25.0,7;
192325,1984-12-29,26.0,Walking On A Thin Line,Huey Lewis & The News,26.0,18.0,11;
192326,1984-12-29,27.0,The Boys Of Summer,Don Henley,27.0,27.0,8;
192327,1984-12-29,28.0,We Are The Young,Dan Hartman,28.0,25.0,13;
192328,1984-12-29,29.0,Better Be Good To Me,Tina Turner,29.0,5.0,16;
192329,1984-12-29,30.0,Stranger In Town,Toto,30.0,30.0,10;
192330,1984-12-29,31.0,Lover Boy,Billy Ocean,31.0,31.0,5;
192331,1984-12-29,32.0,I Would Die 4 U,Prince And The Revolution,32.0,32.0,3;
192332,1984-12-29,33.0,Bruce,Rick Springfield,33.0,33.0,7;
192333,1984-12-29,34.0,The Belle Of St. Mark,Sheila E.,34.0,34.0,10;
192334,1984-12-29,35.0,Tender Years,John Cafferty & The Beaver Brown Band,35.0,35.0,7;
192335,1984-12-29,36.0,Love Light In Flight,Stevie Wonder,36.0,36.0,5;
192336,1984-12-29,37.0,Careless Whisper,Wham! Featuring George Michael,37.0,37.0,2;
192337,1984-12-29,38.0,(Pride) In The Name Of Love,U2,38.0,33.0,10;
192338,1984-12-29,39.0,Foolish Heart,Steve Perry,39.0,39.0,6;
192339,1984-12-29,40.0,Neutron Dance,The Pointer Sisters,40.0,40.0,6;
192340,1984-12-29,41.0,Call To The Heart,Giuffria,41.0,41.0,8;
192341,1984-12-29,42.0,Method Of Modern Love,Daryl Hall John Oates,42.0,42.0,3;
192342,1984-12-29,43.0,In Neon,Elton John,43.0,43.0,5;
192343,1984-12-29,44.0,It Ain't Enough,Corey Hart,44.0,17.0,14;
192344,1984-12-29,45.0,Solid,Ashford & Simpson,45.0,45.0,8;
192345,1984-12-29,46.0,Misled,Kool & The Gang,46.0,46.0,6;
192346,1984-12-29,47.0,Operator,Midnight Star,47.0,47.0,5;
192347,1984-12-29,48.0,Two Tribes,Frankie Goes To Hollywood,48.0,43.0,11;
192348,1984-12-29,49.0,Jungle Love,The Time,49.0,49.0,10;
192349,1984-12-29,50.0,Mistake No. 3,Culture Club,50.0,50.0,3;
192350,1984-12-29,51.0,Tenderness,General Public,51.0,51.0,7;
192351,1984-12-29,52.0,The Heat Is On,Glenn Frey,52.0,52.0,4;
192352,1984-12-29,53.0,Tonight,David Bowie,53.0,53.0,5;
192353,1984-12-29,54.0,Purple Rain,Prince And The Revolution,54.0,2.0,13;
192354,1984-12-29,55.0,Ti Amo,Laura Branigan,55.0,55.0,9;
192355,1984-12-29,56.0,Missing You,Diana Ross,56.0,56.0,5;
192356,1984-12-29,57.0,Money Changes Everything,Cyndi Lauper,57.0,57.0,2;
192357,"1984-12-29,58,""Make No Mistake, He's Mine"",Barbra Streisand With Kim Carnes,58,58,3;",,,,,,
192358,1984-12-29,59.0,I Do'wanna Know,REO Speedwagon,59.0,29.0,10;
