,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
134900,1995-12-30,1.0,One Sweet Day,Mariah Carey & Boyz II Men,1.0,1.0,5;
134901,"1995-12-30,2,""Exhale (Shoop Shoop) (From """"Waiting To Exhale"""")"",Whitney Houston,2,1,6;",,,,,,
134902,1995-12-30,3.0,Hey Lover,LL Cool J,3.0,3.0,7;
134903,"1995-12-30,4,""Gangsta's Paradise (From """"Dangerous Minds"""")"",Coolio Featuring L.V.,4,1,20;",,,,,,
134904,1995-12-30,5.0,Diggin' On You,TLC,6.0,5.0,7;
134905,1995-12-30,6.0,Fantasy,Mariah Carey,5.0,1.0,14;
134906,1995-12-30,7.0,Before You Walk Out Of My Life/Like This And Like That,Monica,12.0,7.0,11;
134907,1995-12-30,8.0,Breakfast At Tiffany's,Deep Blue Something,10.0,8.0,20;
134908,1995-12-30,9.0,Name,Goo Goo Dolls,8.0,8.0,12;
134909,1995-12-30,10.0,Free As A Bird,The Beatles,,10.0,1;
134910,1995-12-30,11.0,You'll See,Madonna,9.0,6.0,4;
134911,1995-12-30,12.0,Missing,Everything But The Girl,14.0,12.0,21;
134912,1995-12-30,13.0,I Got Id/Long Road,Pearl Jam,7.0,7.0,2;
134913,1995-12-30,14.0,Runaway,Janet Jackson,11.0,3.0,16;
134914,1995-12-30,15.0,One Of Us,Joan Osborne,16.0,15.0,4;
134915,1995-12-30,16.0,You Remind Me Of Something,R. Kelly,13.0,4.0,7;
134916,1995-12-30,17.0,Beautiful Life,Ace Of Base,17.0,15.0,8;
134917,1995-12-30,18.0,Tell Me,Groove Theory,15.0,5.0,19;
134918,1995-12-30,19.0,Back For Good,Take That,18.0,7.0,21;
134919,1995-12-30,20.0,As I Lay Me Down,Sophie B. Hawkins,19.0,6.0,31;
134920,1995-12-30,21.0,Tonite's Tha Night,Kris Kross,32.0,21.0,4;
134921,1995-12-30,22.0,Soon As I Get Home,Faith Evans,29.0,22.0,4;
134922,1995-12-30,23.0,Only Wanna Be With You,Hootie & The Blowfish,20.0,6.0,22;
134923,1995-12-30,24.0,Anything,3T,26.0,24.0,13;
134924,1995-12-30,25.0,Kiss From A Rose,Seal,22.0,1.0,28;
134925,1995-12-30,26.0,Bullet With Butterfly Wings,The Smashing Pumpkins,28.0,25.0,8;
134926,1995-12-30,27.0,Time,Hootie & The Blowfish,27.0,27.0,8;
134927,1995-12-30,28.0,Who Can I Run To,Xscape,23.0,8.0,12;
134928,1995-12-30,29.0,Carnival,Natalie Merchant,21.0,10.0,22;
134929,1995-12-30,30.0,Dreaming Of You,Selena,31.0,22.0,10;
134930,1995-12-30,31.0,Roll To Me,Del Amitri,24.0,10.0,26;
134931,1995-12-30,32.0,Be My Lover,La Bouche,33.0,32.0,8;
134932,1995-12-30,33.0,Love U 4 Life,Jodeci,36.0,33.0,9;
