,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
270587,1969-12-27,1.0,Someday We'll Be Together,Diana Ross & The Supremes,2.0,1.0,8;
270588,"1969-12-27,2,Leaving On A Jet Plane,""Peter, Paul & Mary"",1,1,10;",,,,,,
270589,1969-12-27,3.0,Raindrops Keep Fallin' On My Head,B.J. Thomas,5.0,3.0,9;
270590,1969-12-27,4.0,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,3.0,3.0,10;
270591,1969-12-27,5.0,Na Na Hey Hey Kiss Him Goodbye,Steam,4.0,1.0,11;
270592,1969-12-27,6.0,Holly Holy,Neil Diamond,9.0,6.0,9;
270593,1969-12-27,7.0,Come Together/Something,The Beatles,6.0,1.0,11;
270594,1969-12-27,8.0,I Want You Back,Jackson 5,17.0,8.0,7;
270595,1969-12-27,9.0,Whole Lotta Love,Led Zeppelin,12.0,9.0,6;
270596,1969-12-27,10.0,Take A Letter Maria,R.B. Greaves,8.0,2.0,11;
270597,1969-12-27,11.0,Midnight Cowboy,Ferrante & Teicher,15.0,11.0,9;
270598,1969-12-27,12.0,Eli's Coming,Three Dog Night,11.0,10.0,10;
270599,"1969-12-27,13,""Yester-Me, Yester-You, Yesterday"",Stevie Wonder,7,7,11;",,,,,,
270600,1969-12-27,14.0,La La La (If I Had You),Bobby Sherman,14.0,14.0,6;
270601,"1969-12-27,15,And When I Die,""Blood, Sweat & Tears"",10,2,11;",,,,,,
270602,1969-12-27,16.0,These Eyes,Jr. Walker & The All Stars,20.0,16.0,10;
270603,1969-12-27,17.0,Friendship Train,Gladys Knight And The Pips,18.0,17.0,10;
270604,1969-12-27,18.0,Backfield In Motion,Mel And Tim,13.0,10.0,11;
270605,1969-12-27,19.0,Venus,The Shocking Blue,31.0,19.0,3;
270606,1969-12-27,20.0,Jam Up Jelly Tight,Tommy Roe,23.0,20.0,7;
270607,1969-12-27,21.0,Cherry Hill Park,Billy Joe Royal,16.0,15.0,13;
270608,1969-12-27,22.0,Jingle Jangle,The Archies,34.0,22.0,5;
270609,1969-12-27,23.0,Don't Cry Daddy/Rubberneckin',Elvis Presley,25.0,23.0,5;
270610,1969-12-27,24.0,Smile A Little Smile For Me,The Flying Machine,21.0,5.0,13;
270611,"1969-12-27,25,""Baby, I'm For Real"",The Originals,22,14,14;",,,,,,
270612,1969-12-27,26.0,Up On Cripple Creek,The Band,26.0,26.0,9;
270613,1969-12-27,27.0,A Brand New Me,Dusty Springfield,24.0,24.0,8;
