,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
280987,1967-12-30,1.0,Hello Goodbye,The Beatles,3.0,1.0,5;
280988,1967-12-30,2.0,I Heard It Through The Grapevine,Gladys Knight And The Pips,2.0,2.0,11;
280989,1967-12-30,3.0,Daydream Believer,The Monkees,1.0,1.0,7;
280990,1967-12-30,4.0,I Second That Emotion,Smokey Robinson & The Miracles,4.0,4.0,9;
280991,"1967-12-30,5,""Woman, Woman"",The Union Gap Featuring Gary Puckett,5,5,7;",,,,,,
280992,1967-12-30,6.0,Judy In Disguise (With Glasses),John Fred And The Playboys,11.0,6.0,6;
280993,1967-12-30,7.0,Chain Of Fools,Aretha Franklin,17.0,7.0,4;
280994,"1967-12-30,8,""Bend Me, Shape Me"",The American Breed,13,8,5;",,,,,,
280995,1967-12-30,9.0,Boogaloo Down Broadway,The Fantastic Johnny C,7.0,7.0,13;
280996,1967-12-30,10.0,Skinny Legs And All,Joe Tex,15.0,10.0,10;
280997,1967-12-30,11.0,Honey Chile,Martha Reeves & The Vandellas,16.0,11.0,7;
280998,1967-12-30,12.0,You Better Sit Down Kids,Cher,9.0,9.0,10;
280999,1967-12-30,13.0,Incense And Peppermints,Strawberry Alarm Clock,8.0,1.0,14;
281000,"1967-12-30,14,""The Rain, The Park & Other Things"",The Cowsills,6,2,14;",,,,,,
281001,1967-12-30,15.0,Summer Rain,Johnny Rivers,18.0,15.0,7;
281002,1967-12-30,16.0,I Say A Little Prayer,Dionne Warwick,10.0,4.0,11;
281003,1967-12-30,17.0,Next Plane To London,The Rose Garden,22.0,17.0,11;
281004,1967-12-30,18.0,If I Could Build My Whole World Around You,Marvin Gaye & Tammi Terrell,23.0,18.0,5;
281005,1967-12-30,19.0,Different Drum,Stone Poneys Featuring Linda Ronstadt,26.0,19.0,8;
281006,1967-12-30,20.0,She's My Girl,The Turtles,14.0,14.0,8;
281007,1967-12-30,21.0,In And Out Of Love,Diana Ross & The Supremes,12.0,9.0,8;
281008,1967-12-30,22.0,And Get Away,The Esquires,29.0,22.0,6;
281009,1967-12-30,23.0,Wear Your Love Like Heaven,Donovan,28.0,23.0,6;
281010,1967-12-30,24.0,Neon Rainbow,The Box Tops,24.0,24.0,8;
281011,1967-12-30,25.0,Green Tambourine,The Lemon Pipers,33.0,25.0,3;
281012,1967-12-30,26.0,It's Wonderful,The Young Rascals,31.0,26.0,4;
281013,1967-12-30,27.0,(The Lights Went Out In) Massachusetts,Bee Gees,20.0,11.0,8;
281014,1967-12-30,28.0,Keep The Ball Rollin',Jay And The Techniques,19.0,14.0,11;
281015,1967-12-30,29.0,Susan,The Buckinghams,34.0,29.0,4;
281016,1967-12-30,30.0,Come See About Me,Jr. Walker & The All Stars,36.0,30.0,6;
281017,1967-12-30,31.0,The Other Man's Grass Is Always Greener,Petula Clark,41.0,31.0,5;
281018,1967-12-30,32.0,Monterey,Eric Burdon & The Animals,64.0,32.0,3;
281019,1967-12-30,33.0,By The Time I Get To Phoenix,Glen Campbell,30.0,26.0,10;
281020,1967-12-30,34.0,Baby You Got It,Brenton Wood,35.0,34.0,6;
281021,"1967-12-30,35,Too Much Of Nothing,""Peter, Paul & Mary"",39,35,6;",,,,,,
281022,1967-12-30,36.0,Who Will Answer?,Ed Ames,51.0,36.0,3;
281023,1967-12-30,37.0,I Can't Stand Myself (When You Touch Me),James Brown And The Famous Flames,55.0,37.0,4;
281024,1967-12-30,38.0,Love Me Two Times,The Doors,48.0,38.0,4;
281025,1967-12-30,39.0,To Sir With Love,Lulu,21.0,1.0,17;
281026,1967-12-30,40.0,Tell Mama,Etta James,50.0,40.0,8;
281027,1967-12-30,41.0,Since You Showed Me How To Be Happy,Jackie Wilson,32.0,32.0,6;
281028,1967-12-30,42.0,Love Power,The Sandpebbles,52.0,42.0,6;
