,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
124500,1997-12-27,1.0,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1.0,1.0,12;
124501,1997-12-27,2.0,How Do I Live,LeAnn Rimes,2.0,2.0,28;
124502,1997-12-27,3.0,You Make Me Wanna...,Usher,3.0,2.0,19;
124503,1997-12-27,4.0,Together Again,Janet,9.0,4.0,2;
124504,1997-12-27,5.0,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),8.0,5.0,4;
124505,1997-12-27,6.0,My Body,LSG,4.0,4.0,9;
124506,1997-12-27,7.0,Feel So Good,Mase,5.0,5.0,9;
124507,1997-12-27,8.0,Show Me Love,Robyn,10.0,7.0,7;
124508,1997-12-27,9.0,Truly Madly Deeply,Savage Garden,12.0,9.0,4;
124509,1997-12-27,10.0,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,6.0,4.0,18;
124510,1997-12-27,11.0,Tubthumping,Chumbawamba,7.0,6.0,16;
124511,1997-12-27,12.0,A Song For Mama,Boyz II Men,13.0,12.0,3;
124512,1997-12-27,13.0,I Will Come To You,Hanson,11.0,9.0,5;
124513,1997-12-27,14.0,I Don't Want To Wait,Paula Cole,14.0,12.0,9;
124514,1997-12-27,15.0,The One I Gave My Heart To,Aaliyah,17.0,9.0,13;
124515,1997-12-27,16.0,We're Not Making Love No More,Dru Hill,22.0,16.0,3;
124516,1997-12-27,17.0,All Cried Out,Allure Featuring 112,15.0,4.0,18;
124517,1997-12-27,18.0,Spice Up Your Life,Spice Girls,20.0,18.0,8;
124518,1997-12-27,19.0,Butta Love,Next,16.0,16.0,17;
124519,1997-12-27,20.0,I Don't Ever Want To See You Again,Uncle Sam,24.0,20.0,8;
124520,"1997-12-27,21,Sock It 2 Me,""Missy """"Misdemeanor"""" Elliott Featuring Da Brat"",21,12,11;",,,,,,
124521,1997-12-27,22.0,Foolish Games/You Were Meant For Me,Jewel,18.0,2.0,57;
124522,1997-12-27,23.0,I Do,Lisa Loeb,23.0,23.0,9;
124523,1997-12-27,24.0,4 Seasons Of Loneliness,Boyz II Men,19.0,1.0,14;
124524,1997-12-27,25.0,Semi-Charmed Life,Third Eye Blind,25.0,4.0,26;
124525,1997-12-27,26.0,Quit Playing Games (With My Heart),Backstreet Boys,26.0,2.0,27;
124526,1997-12-27,27.0,How's It Going To Be,Third Eye Blind,31.0,27.0,4;
124527,1997-12-27,28.0,What About Us,Total,27.0,16.0,18;
124528,1997-12-27,29.0,Lollipop (Candyman),Aqua,35.0,29.0,3;
124529,1997-12-27,30.0,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,30.0,1.0,22;
124530,1997-12-27,31.0,Criminal,Fiona Apple,28.0,21.0,13;
124531,1997-12-27,32.0,Breaking All The Rules,She Moves,32.0,32.0,8;
124532,1997-12-27,33.0,Heaven,Nu Flavor,36.0,33.0,12;
124533,1997-12-27,34.0,All For You,Sister Hazel,29.0,11.0,25;
124534,"1997-12-27,35,""No, No, No"",Destiny's Child,40,35,5;",,,,,,
124535,1997-12-27,36.0,Building A Mystery,Sarah McLachlan,33.0,13.0,17;
124536,1997-12-27,37.0,Going Back To Cali,The Notorious B.I.G.,44.0,37.0,4;
124537,1997-12-27,38.0,They Like It Slow,H-Town,38.0,35.0,12;
124538,1997-12-27,39.0,If I Could Teach The World,Bone Thugs-N-Harmony,34.0,27.0,11;
124539,1997-12-27,40.0,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,37.0,1.0,29;
124540,1997-12-27,41.0,Honey,Mariah Carey,39.0,1.0,16;
124541,1997-12-27,42.0,No Tengo Dinero,Los Umbrellos,43.0,42.0,18;
124542,1997-12-27,43.0,The Memory Remains,Metallica,49.0,28.0,5;
124543,1997-12-27,44.0,Invisible Man,98 Degrees,42.0,12.0,25;
124544,1997-12-27,45.0,2 Become 1,Spice Girls,45.0,4.0,20;
124545,1997-12-27,46.0,Sunny Came Home,Shawn Colvin,47.0,7.0,25;
124546,1997-12-27,47.0,Everything,Mary J. Blige,46.0,24.0,14;
124547,1997-12-27,48.0,Don't Be Stupid (You Know I Love You),Shania Twain,54.0,48.0,4;
124548,1997-12-27,49.0,I Care 'Bout You,Milestone,41.0,23.0,18;
124549,1997-12-27,50.0,So Help Me Girl,Gary Barlow,48.0,44.0,11;
124550,1997-12-27,51.0,At The Beginning,Richard Marx & Donna Lewis,51.0,51.0,8;
124551,1997-12-27,52.0,Kiss The Rain,Billie Myers,56.0,52.0,8;
124552,1997-12-27,53.0,Love Gets Me Every Time,Shania Twain,50.0,25.0,12;
124553,1997-12-27,54.0,Legend Of A Cowgirl,Imani Coppola,52.0,36.0,16;
124554,1997-12-27,55.0,I Miss My Homies,Master P Featuring Pimp C And The Shocker,53.0,25.0,17;
124555,1997-12-27,56.0,32 Flavors,Alana Davis,62.0,56.0,4;
124556,1997-12-27,57.0,Still Waters (Run Deep),Bee Gees,70.0,57.0,3;
124557,1997-12-27,58.0,Just Clownin',WC From Westside Connection,60.0,58.0,3;
124558,1997-12-27,59.0,You Light Up My Life,LeAnn Rimes,59.0,34.0,16;
124559,1997-12-27,60.0,So Good,Davina,63.0,60.0,9;
124560,1997-12-27,61.0,Backyard Boogie,Mack 10,55.0,37.0,18;
124561,1997-12-27,62.0,I'm Not A Player,Big Punisher,57.0,57.0,9;
124562,1997-12-27,63.0,What If,Reba McEntire,68.0,63.0,3;
124563,1997-12-27,64.0,You're Not Alone,Olive,61.0,56.0,10;
124564,1997-12-27,65.0,Roxanne `97 - Puff Daddy Remix,Sting & The Police,,65.0,1;
124565,1997-12-27,66.0,I'm Afraid Of Americans,David Bowie,71.0,66.0,6;
124566,1997-12-27,67.0,Santa's A Fat Bitch,Insane Clown Posse,,67.0,1;
124567,1997-12-27,68.0,Tuck Me In,Kimberly Scott,69.0,68.0,3;
124568,1997-12-27,69.0,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,58.0,17.0,17;
124569,1997-12-27,70.0,Last Night's Letter,K-Ci & JoJo,65.0,46.0,13;
124570,1997-12-27,71.0,L-L-Lies,Diana King,72.0,71.0,6;
124571,1997-12-27,72.0,One More Night,Amber,75.0,69.0,11;
124572,1997-12-27,73.0,Don't Stop The Music,Playa,81.0,73.0,7;
124573,1997-12-27,74.0,Valentine,Martina McBride With Jim Brickman,64.0,50.0,13;
124574,"1997-12-27,75,""4, 3, 2, 1"",""LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P"",,75,1;",,,,,,
124575,1997-12-27,76.0,Something That We Do,Clint Black,76.0,76.0,2;
124576,1997-12-27,77.0,Mourn You Til I Join You,Naughty By Nature,66.0,51.0,7;
124577,1997-12-27,78.0,Say You'll Stay,KAI,84.0,78.0,2;
124578,1997-12-27,79.0,I Wonder If Heaven Got A Ghetto,2Pac,67.0,67.0,3;
124579,1997-12-27,80.0,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,,80.0,3;
124580,1997-12-27,81.0,Around The World,Daft Punk,79.0,61.0,18;
124581,"1997-12-27,82,""Too Gone, Too Long"",En Vogue,74,33,12;",,,,,,
124582,1997-12-27,83.0,In Harm's Way,BeBe Winans,83.0,83.0,6;
124583,1997-12-27,84.0,The Rest Of Mine,Trace Adkins,80.0,70.0,11;
124584,1997-12-27,85.0,Have A Little Mercy,4.0,77.0,46.0,19;
124585,1997-12-27,86.0,Swing My Way,K.P. & Envyi,,86.0,1;
124586,1997-12-27,87.0,All Of My Days,Changing Faces (Featuring Jay-Z),78.0,65.0,8;
124587,1997-12-27,88.0,You Know My Steez,Gang Starr,87.0,81.0,4;
124588,1997-12-27,89.0,Man Behind The Music,Queen Pen Featuring Teddy Riley,98.0,89.0,3;
124589,1997-12-27,90.0,Smack My Bitch Up,The Prodigy,90.0,90.0,2;
124590,1997-12-27,91.0,Did I Shave My Legs For This?,Deana Carter,91.0,91.0,3;
124591,1997-12-27,92.0,Love Of My Life,Sammy Kershaw,,92.0,1;
124592,1997-12-27,93.0,Phenomenon,LL Cool J,85.0,55.0,9;
124593,1997-12-27,94.0,Don't Go,Le Click Featuring Kayo,82.0,62.0,14;
124594,1997-12-27,95.0,Free,Ultra Nate,88.0,75.0,19;
124595,1997-12-27,96.0,Doin' Time,Sublime,96.0,96.0,2;
124596,1997-12-27,97.0,I'm So Happy I Can't Stop Crying,Toby Keith With Sting,95.0,84.0,4;
124597,1997-12-27,98.0,DJ Keep Playin' (Get Your Music On),Yvette Michele,89.0,84.0,7;
124598,1997-12-27,99.0,Up & Down,Billy Lawrence,92.0,92.0,3;
124599,1997-12-27,100.0,Brian Wilson,Barenaked Ladies,100.0,92.0,6;
124600,1997-12-20,1.0,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1.0,1.0,11;
124601,1997-12-20,2.0,How Do I Live,LeAnn Rimes,2.0,2.0,27;
124602,1997-12-20,3.0,You Make Me Wanna...,Usher,3.0,2.0,18;
124603,1997-12-20,4.0,My Body,LSG,4.0,4.0,8;
124604,1997-12-20,5.0,Feel So Good,Mase,5.0,5.0,8;
124605,1997-12-20,6.0,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,6.0,4.0,17;
124606,1997-12-20,7.0,Tubthumping,Chumbawamba,8.0,6.0,15;
124607,1997-12-20,8.0,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),10.0,8.0,3;
124608,1997-12-20,9.0,Together Again,Janet,,9.0,1;
124609,1997-12-20,10.0,Show Me Love,Robyn,7.0,7.0,6;
124610,1997-12-20,11.0,I Will Come To You,Hanson,9.0,9.0,4;
124611,1997-12-20,12.0,Truly Madly Deeply,Savage Garden,17.0,12.0,3;
124612,1997-12-20,13.0,A Song For Mama,Boyz II Men,27.0,13.0,2;
124613,1997-12-20,14.0,I Don't Want To Wait,Paula Cole,12.0,12.0,8;
124614,1997-12-20,15.0,All Cried Out,Allure Featuring 112,11.0,4.0,17;
124615,1997-12-20,16.0,Butta Love,Next,16.0,16.0,16;
124616,1997-12-20,17.0,The One I Gave My Heart To,Aaliyah,13.0,9.0,12;
124617,1997-12-20,18.0,Foolish Games/You Were Meant For Me,Jewel,14.0,2.0,56;
124618,1997-12-20,19.0,4 Seasons Of Loneliness,Boyz II Men,15.0,1.0,13;
124619,1997-12-20,20.0,Spice Up Your Life,Spice Girls,19.0,18.0,7;
124620,"1997-12-20,21,Sock It 2 Me,""Missy """"Misdemeanor"""" Elliott Featuring Da Brat"",18,12,10;",,,,,,
124621,1997-12-20,22.0,We're Not Making Love No More,Dru Hill,30.0,22.0,2;
124622,1997-12-20,23.0,I Do,Lisa Loeb,23.0,23.0,8;
124623,1997-12-20,24.0,I Don't Ever Want To See You Again,Uncle Sam,28.0,24.0,7;
124624,1997-12-20,25.0,Semi-Charmed Life,Third Eye Blind,22.0,4.0,25;
124625,1997-12-20,26.0,Quit Playing Games (With My Heart),Backstreet Boys,20.0,2.0,26;
124626,1997-12-20,27.0,What About Us,Total,21.0,16.0,17;
124627,1997-12-20,28.0,Criminal,Fiona Apple,24.0,21.0,12;
124628,1997-12-20,29.0,All For You,Sister Hazel,25.0,11.0,24;
124629,1997-12-20,30.0,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,26.0,1.0,21;
124630,1997-12-20,31.0,How's It Going To Be,Third Eye Blind,31.0,31.0,3;
124631,1997-12-20,32.0,Breaking All The Rules,She Moves,32.0,32.0,7;
124632,1997-12-20,33.0,Building A Mystery,Sarah McLachlan,29.0,13.0,16;
124633,1997-12-20,34.0,If I Could Teach The World,Bone Thugs-N-Harmony,33.0,27.0,10;
124634,1997-12-20,35.0,Lollipop (Candyman),Aqua,48.0,35.0,2;
124635,1997-12-20,36.0,Heaven,Nu Flavor,36.0,36.0,11;
124636,1997-12-20,37.0,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,35.0,1.0,28;
124637,1997-12-20,38.0,They Like It Slow,H-Town,41.0,35.0,11;
124638,1997-12-20,39.0,Honey,Mariah Carey,34.0,1.0,15;
124639,"1997-12-20,40,""No, No, No"",Destiny's Child,52,40,4;",,,,,,
124640,1997-12-20,41.0,I Care 'Bout You,Milestone,37.0,23.0,17;
124641,1997-12-20,42.0,Invisible Man,98 Degrees,38.0,12.0,24;
124642,1997-12-20,43.0,No Tengo Dinero,Los Umbrellos,43.0,43.0,17;
124643,1997-12-20,44.0,Going Back To Cali,The Notorious B.I.G.,53.0,44.0,3;
124644,1997-12-20,45.0,2 Become 1,Spice Girls,39.0,4.0,19;
124645,1997-12-20,46.0,Everything,Mary J. Blige,46.0,24.0,13;
124646,1997-12-20,47.0,Sunny Came Home,Shawn Colvin,40.0,7.0,24;
124647,1997-12-20,48.0,So Help Me Girl,Gary Barlow,44.0,44.0,10;
124648,1997-12-20,49.0,The Memory Remains,Metallica,45.0,28.0,4;
124649,1997-12-20,50.0,Love Gets Me Every Time,Shania Twain,47.0,25.0,11;
124650,1997-12-20,51.0,At The Beginning,Richard Marx & Donna Lewis,51.0,51.0,7;
124651,1997-12-20,52.0,Legend Of A Cowgirl,Imani Coppola,49.0,36.0,15;
124652,1997-12-20,53.0,I Miss My Homies,Master P Featuring Pimp C And The Shocker,42.0,25.0,16;
124653,1997-12-20,54.0,Don't Be Stupid (You Know I Love You),Shania Twain,59.0,54.0,3;
124654,1997-12-20,55.0,Backyard Boogie,Mack 10,54.0,37.0,17;
124655,1997-12-20,56.0,Kiss The Rain,Billie Myers,66.0,56.0,7;
124656,1997-12-20,57.0,I'm Not A Player,Big Punisher,57.0,57.0,8;
124657,1997-12-20,58.0,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,55.0,17.0,16;
124658,1997-12-20,59.0,You Light Up My Life,LeAnn Rimes,62.0,34.0,15;
124659,1997-12-20,60.0,Just Clownin',WC From Westside Connection,63.0,60.0,2;
124660,1997-12-20,61.0,You're Not Alone,Olive,56.0,56.0,9;
124661,1997-12-20,62.0,32 Flavors,Alana Davis,67.0,62.0,3;
124662,1997-12-20,63.0,So Good,Davina,68.0,61.0,8;
124663,1997-12-20,64.0,Valentine,Martina McBride With Jim Brickman,58.0,50.0,12;
124664,1997-12-20,65.0,Last Night's Letter,K-Ci & JoJo,64.0,46.0,12;
124665,1997-12-20,66.0,Mourn You Til I Join You,Naughty By Nature,60.0,51.0,6;
124666,1997-12-20,67.0,I Wonder If Heaven Got A Ghetto,2Pac,73.0,67.0,2;
124667,1997-12-20,68.0,What If,Reba McEntire,86.0,68.0,2;
124668,1997-12-20,69.0,Tuck Me In,Kimberly Scott,76.0,69.0,2;
124669,1997-12-20,70.0,Still Waters (Run Deep),Bee Gees,87.0,70.0,2;
124670,1997-12-20,71.0,I'm Afraid Of Americans,David Bowie,71.0,71.0,5;
124671,1997-12-20,72.0,L-L-Lies,Diana King,72.0,72.0,5;
124672,1997-12-20,73.0,Never Make A Promise,Dru Hill,80.0,7.0,20;
124673,"1997-12-20,74,""Too Gone, Too Long"",En Vogue,70,33,11;",,,,,,
124674,1997-12-20,75.0,One More Night,Amber,69.0,69.0,10;
124675,1997-12-20,76.0,Something That We Do,Clint Black,,76.0,1;
124676,1997-12-20,77.0,Have A Little Mercy,4.0,75.0,46.0,18;
124677,1997-12-20,78.0,All Of My Days,Changing Faces (Featuring Jay-Z),65.0,65.0,7;
124678,1997-12-20,79.0,Around The World,Daft Punk,78.0,61.0,17;
124679,1997-12-20,80.0,The Rest Of Mine,Trace Adkins,77.0,70.0,10;
124680,1997-12-20,81.0,Don't Stop The Music,Playa,83.0,81.0,6;
124681,1997-12-20,82.0,Don't Go,Le Click Featuring Kayo,79.0,62.0,13;
124682,1997-12-20,83.0,In Harm's Way,BeBe Winans,94.0,83.0,5;
124683,1997-12-20,84.0,Say You'll Stay,KAI,,84.0,1;
